TRAFFIC,,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#14,#14,#14,#14,#14
,,,,May 7,May 21,Jun 3,Jun 25,Jul 10,Jul 29,Aug 13,Aug 27,Sep 29,Oct 14,Oct 27,Nov 10,Nov 24,Dec 1,Jan 12,Jan 19,Jan 26,Mar 4,Mar 11
SHOWUP COUNT,Employee,27.66%,"1,277",97,74,132,88,104,85,60,67,87,78,79,45,62,122,39,10,16,16,16
,Business Owner,10.72%,495,41,36,51,29,45,19,27,25,24,24,23,14,23,47,23,20,8,8,8
,Freelancer,12.61%,582,38,43,61,40,39,44,37,39,40,36,31,19,26,53,16,14,2,2,2
,Retired,1.82%,84,0,0,0,0,0,0,0,0,0,0,10,10,12,9,21,4,6,6,6
,Others,16.09%,743,61,47,81,61,39,53,44,50,45,53,49,20,37,60,10,9,8,8,8
,MIssing,31.10%,"1,436",48,112,65,60,160,139,41,41,47,56,51,29,41,54,71,64,119,119,119
SHOW UP PERCENTAGE OUT OF TOTAL,Employee,,25.95%,34.04%,23.72%,33.85%,31.65%,26.87%,25.00%,28.71%,30.18%,35.80%,31.58%,32.51%,32.85%,30.85%,35.36%,21.67%,8.26%,10.06%,10.06%,10.06%
,Business Owner,,10.50%,14.39%,11.54%,13.08%,10.43%,11.63%,5.59%,12.92%,11.26%,9.88%,9.72%,9.47%,10.22%,11.44%,13.62%,12.78%,16.53%,5.03%,5.03%,5.03%
,Freelancer,,11.88%,13.33%,13.78%,15.64%,14.39%,10.08%,12.94%,17.70%,17.57%,16.46%,14.57%,12.76%,13.87%,12.94%,15.36%,8.89%,11.57%,1.26%,1.26%,1.26%
,Retired,,2.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.12%,7.30%,5.97%,2.61%,11.67%,3.31%,3.77%,3.77%,3.77%
,Others,,15.11%,21.40%,15.06%,20.77%,21.94%,10.08%,15.59%,21.05%,22.52%,18.52%,21.46%,20.16%,14.60%,18.41%,17.39%,5.56%,7.44%,5.03%,5.03%,5.03%
,MIssing,,34.13%,16.84%,35.90%,16.67%,21.58%,41.34%,40.88%,19.62%,18.47%,19.34%,22.67%,20.99%,21.17%,20.40%,15.65%,39.44%,52.89%,74.84%,74.84%,74.84%
SHOW UP PERCENTAGE,Employee,,#DIV/0!,54.19%,58.27%,72.93%,53.66%,48.83%,38.81%,43.80%,73.63%,86.14%,81.25%,109.72%,49.45%,42.18%,82.99%,50.65%,12.05%,27.12%,#DIV/0!,#DIV/0!
,Business Owner,,#DIV/0!,64.06%,56.25%,63.75%,50.88%,45.92%,24.05%,39.71%,67.57%,57.14%,77.42%,65.71%,31.11%,29.11%,59.49%,35.94%,50.00%,53.33%,#DIV/0!,#DIV/0!
,Freelancer,,#DIV/0!,53.52%,51.81%,75.31%,67.80%,46.43%,38.60%,62.71%,68.42%,74.07%,94.74%,206.67%,48.72%,44.07%,89.83%,41.03%,53.85%,18.18%,#DIV/0!,#DIV/0!
,Retired,,#DIV/0!,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.26%,25.64%,38.71%,29.03%,44.68%,18.18%,54.55%,#DIV/0!,#DIV/0!
,Others,,#DIV/0!,61.00%,63.51%,84.38%,73.49%,45.88%,47.75%,55.70%,83.33%,73.77%,74.65%,245.00%,35.71%,50.00%,81.08%,22.22%,21.95%,38.10%,#DIV/0!,#DIV/0!
SOURCE,NM,42.11%,88,,,,,,,,,,,,,,,,,,88,46
,OM,23.44%,49,,,,,,,,,,,,,,,,,,49,36
,MISSING,34.45%,72,,,,,,,,,,,,,,,,,,72,51
SHOW UP ADS SOURCE,vid7,38.59%,837,4,47,121,133,137,72,57,40,41,39,32,10,14,59,28,0,0,0,0
,chart,25.82%,560,132,92,79,38,2,2,16,32,17,17,26,5,14,36,5,24,14,0,0
,timing_problem2,12.68%,275,42,9,47,18,7,7,17,32,12,10,10,6,8,21,29,0,0,0,0
,ivispic_free,8.11%,176,0,0,0,0,0,0,0,16,32,51,27,20,11,19,0,0,0,0,0
