TRAFFIC,,,TOTAL,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#14,#14,#14,#14,#14
,,,,May 7,May 21,Jun 3,Jun 25,Jul 10,Jul 29,Aug 13,Aug 27,Sep 29,Oct 14,Oct 27,Nov 10,Nov 24,Dec 1,Jan 12,Jan 19,Jan 26,Mar 4,Mar 11
LEAD OCCUPATION,Employee,39.31%,"2,128",179,127,181,164,213,219,137,91,101,96,72,91,147,147,49,55,59,0,0
,Business Owner,17.27%,935,64,64,80,57,98,79,68,37,42,31,35,45,79,79,43,19,15,0,0
,Freelancer,17.18%,930,71,83,81,59,84,114,59,57,54,38,15,39,59,59,30,17,11,0,0
,Retired,3.62%,196,0,0,0,0,0,0,0,0,0,0,31,39,31,31,39,14,11,0,0
,Others,20.41%,"1,105",100,74,96,83,85,111,79,60,61,71,20,56,74,74,22,18,21,0,0
,MIssing,2.22%,120,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,62,0,0
SORTED LEAD SOURCE,vid7,48.69%,1455,12,77,259,300,306,229,99,23,42,29,12,3,1,0,57,0,0,0,6
,chart,18.27%,546,204,159,6,0,2,3,6,0,3,0,0,0,15,0,9,78,43,0,18
,timing_problem2,13.72%,410,76,17,66,0,19,19,30,71,4,4,18,10,3,0,73,0,0,0,0
,octvid1,12.92%,386,0,0,0,0,0,0,0,0,0,0,118,116,141,0,0,0,11,0,0
,MIssing UTM,7.98%,309,10,16,19,14,12,18,4,3,8,7,10,3,12,6,6,0,4,122,35
,ivispic_free,8.37%,250,0,0,0,0,0,0,0,37,59,63,39,51,0,1,0,0,0,0,0
,julyvid_borntime,6.22%,186,0,0,0,0,0,40,49,20,18,43,16,0,0,0,0,0,0,0,0
,junead1,5.42%,162,0,0,0,16,30,45,18,7,28,13,4,1,0,0,0,0,0,0,0
,timing_problem1,3.95%,118,12,13,37,5,7,14,5,1,1,3,2,0,0,0,18,0,0,0,0
,timing_problem_vid2,3.34%,110,74,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,junead3roadppl,3.35%,100,0,0,0,0,61,10,27,2,0,0,0,0,0,0,0,0,0,0,0
,flyingstar,2.44%,73,0,0,0,0,0,0,0,12,33,28,0,0,0,0,0,0,0,0,0
,june_advid2,2.41%,72,0,0,0,0,0,21,34,13,0,4,0,0,0,0,0,0,0,0,0
,ivispic-aibroadmy,2.34%,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
,june_advid1,2.31%,69,0,0,0,0,0,25,26,4,0,3,6,3,2,0,0,0,0,0,0
,mayadvid3,2.28%,68,0,0,21,15,10,17,0,0,0,0,3,2,0,0,0,0,0,0,0
,julyadvid3_roadppl,1.68%,60,0,0,0,0,0,38,17,5,0,0,0,0,0,0,0,0,0,0,0
,julyadvid_ai,1.77%,53,0,0,0,0,0,9,1,6,0,2,0,1,34,0,0,0,0,0,0
,may_advid3,1.77%,53,0,0,0,0,0,0,0,0,0,0,12,41,0,0,0,0,0,0,0
,retargeting_2025ends,1.77%,53,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
,octadvid2guess,1.64%,49,0,0,0,0,0,0,0,0,0,0,2,5,42,0,0,0,0,0,0
,nov_vid2_bo,1.61%,48,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,0,0,0,0
,novvid_name,1.47%,44,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
,vid4_strategy,1.41%,42,23,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,octvid1-aibroadmy,1.17%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
,julyvid_borntime-aibroadmy,1.17%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
,octadvid1,1.14%,34,0,0,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,1,12
,chart-aibroadmy,1.10%,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
,sepvid_sign,1.07%,32,0,0,0,0,0,0,0,0,24,6,1,1,0,0,0,0,0,0,0
,augpic3_1000years,0.87%,26,0,0,0,0,0,0,0,8,17,1,0,0,0,0,0,0,0,0,0
,vid6_timing,0.84%,25,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,junead2,0.74%,22,0,0,0,12,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0
,trads,0.74%,22,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
,sepvid_mistake,0.70%,21,0,0,0,0,0,0,0,0,8,11,2,0,0,0,0,0,0,0,0
,thincae,0.64%,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,julyadvid2,0.64%,19,0,0,0,0,0,1,15,2,0,1,0,0,0,0,0,0,0,0,0
,novvid_yearend,0.57%,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
,augvid2_stock,0.47%,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
,junevid2-aibroadmy,0.40%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
,vid5_isnt_working,0.37%,11,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,julyroadvid,0.37%,11,0,0,0,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0
,julyadpic_cityv1,0.37%,11,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0
,mayadvid1,0.30%,9,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
,augpic2_cure,0.27%,8,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
,2026janpic2,0.27%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0
,julyadvid4,0.23%,7,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0
,may_advid1,0.23%,7,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
,julyvid_decisionpressure,0.23%,7,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0
,augpic5_whitecae,0.23%,7,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0
,novvid_period,0.23%,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
,timingprob2-aibroadmy,0.23%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
,120230301357890095,0.20%,6,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
